nom	sources	episodes	connaissances	limites	carte
Cristaux Ronyx	Ronyx_Crystal;Witch_Wars_%28episode%29/Script;Witch_Wars_%28episode%29/Plot	S06E21	Dispositifs de surveillance de Witch Wars : cristaux noirs pour observer, rouges pour projeter les images. Gideon fabrique une page explicative ; pendant que Phoebe lit la prétendue formule, il fait discrètement un geste qui active la projection.	L'efficacité de la formule n'est pas démontrée indépendamment de Gideon. Sa présentation d'une origine très ancienne est aussi intéressée : ne pas la valider comme histoire certaine. Portée, enregistrement et accès à des lieux protégés restent à contextualiser.	Cristaux de surveillance et de projection d'images, employés en réseau dans Witch Wars.
Cristal de paranoïa	Paranoia_Crystal	S07E12	Cristal transmis à Kyle par Zankou pour susciter la paranoïa. Le contact permet une contamination qui peut ensuite passer entre les sorcières. La destruction de l'objet met fin à cette influence dans l'épisode.	Les récits historiques racontés par Zankou ne sont pas des événements montrés. Ne pas assimiler suspicion ordinaire et contamination, ni fixer un rayon de diffusion. La propagation requiert les contacts et circonstances du précédent.	Cristal capable d'induire une paranoïa contagieuse par contact dans les conditions décrites pour son usage.
Cristal des rêves	Dream_Crystal;Dream_Leaping	S08E19	Billie utilise un cristal pour entrer dans les rêves des sœurs et en ressortir. Plusieurs dormeuses proches peuvent être concernées. L'endormissement profond résulte d'un autre moyen ; le cristal sert au déplacement dans les rêves.	La page Dream Leaping annonce un maximum de trois, tandis que Dream Crystal parle de plusieurs personnes proches. Trois cas dans une scène ne prouvent pas un plafond : garder ce point incertain. Aucun contrôle intégral du contenu des rêves établi.	Cristal permettant d'entrer dans les rêves de dormeurs proches et d'en ressortir.
Cristaux de pyrite d'alarme	Crystal	S06E11	Des cristaux de pyrite sont employés pour signaler une présence maléfique par un effet sonore ou harmonique dans Witchstock.	Détection ne signifie pas blocage physique de l'entrée. Préparation et emplacement sont à conserver selon l'épisode ; aucun rayon universel ou identification nominative de l'intrus établi.	Cristaux employés dans un dispositif d'alarme signalant une présence maléfique.
Cristaux de dissimulation	Cloaking	S06E17 S08E17	Des configurations de cristaux servent à masquer une présence aux recherches magiques. Le retrait d'un élément peut rompre le dispositif.	Dissimuler à une recherche ne signifie pas empêcher une entrée, rendre invisible à l'œil ou annuler une attaque. Ces effets dépendent de la configuration et ne sont pas ceux de tout cristal isolé.	Cristaux disposés pour dissimuler une présence à certaines recherches magiques.
Dispositif de cristaux de Burke	Vaya_Con_Leos/Script	S08E10	Burke utilise des cristaux insérés et manipulés dans un dispositif pour immobiliser puis conserver ses victimes comme trophées ; Leo est placé dans cet état. Le dialogue distingue la capacité de torturer de celle de réaliser cette congélation.	Les gestes, l'installation et le savoir de Burke comptent. Un cristal transporté seul ne vaut pas machine complète. L'intervention ultérieure de l'Ange du destin sur Leo n'est pas une propriété du dispositif.	Dispositif à cristaux employé par Burke pour immobiliser et conserver des victimes dans un état de congélation magique.
Boule de cristal de Gideon	Witch_Wars_%28episode%29/Script	S06E21	Gideon observe les sœurs, Leo et Chris dans une boule de cristal à l'École de magie ; un geste met fin à la vision.	Cette boule ne se confond pas avec les cristaux Ronyx de la même intrigue. L'usage montré ne prouve pas l'observation de toute personne, de tout lieu ou de toute époque, ni la connaissance des pensées.	Boule de cristal employée par Gideon pour observer à distance des personnes dans le contexte de l'École de magie.
Lumière de l'amour éternel	The_Light_of_Eternal_Love	S03E16	Objet lumineux associé au mariage de Piper et Leo et au symbole de leur amour éternel. Il se brise au cours de l'épisode.	Un symbole magique de l'amour ne crée pas nécessairement l'amour et n'en garantit pas le devenir. Aucun pouvoir de contrainte affective établi. L'état brisé doit être pris en compte après ce précédent.	Lumière magique liée symboliquement à l'amour éternel de Piper et Leo.
Sablier de Tempus	Hourglass	S01E22	Sablier associé aux reprises temporelles orchestrées par Tempus lors des échecs de Rodriguez. Le déclenchement relève de leur dispositif et de l'action du démon.	Ne pas attribuer au seul sablier un nombre illimité de retours utilisables par n'importe quel porteur. Déclencheur, souvenirs conservés et durée du cycle doivent rester ceux de l'intrigue étudiée.	Sablier associé à la magie de Tempus et à ses cycles de retour dans le temps.
Miroir entre les deux mondes	Mirror_Between_Worlds	S06E22 S06E23	Miroir permettant des échanges entre les versions de Gideon et de son monde opposé. Les interactions dépassent l'image seule, notamment dans les échanges observés. Les Leo détruisent le lien des miroirs.	Ne pas assimiler automatiquement ce miroir à tous les portails de voyage des épisodes. Il relie cette paire de mondes ; aucun sélecteur universel de dimension établi. Sa destruction affecte sa disponibilité.	Miroir mettant en relation deux mondes opposés et permettant des échanges entre leurs correspondants.
Miroir de Kali	Mirror	S01E07	Kali apparaît par un miroir et agit sur Aviva, jusqu'à la possession. Briser le miroir intervient dans son bannissement.	Les pouvoirs de Kali ne deviennent pas tous des fonctions du miroir. Ne pas confondre cet objet avec le miroir de conte ou celui des mondes opposés. Un miroir ordinaire peut interagir avec la magie sans être cet artefact.	Miroir servant de point de contact à Kali pour apparaître et agir sur une personne.
Miroir magique des contes	Magic_Mirror	S05E03	Miroir-prison de la sorcière des contes. Sa destruction permet sa libération ; elle le rétablit et y enferme l'apprenti. Dans cette configuration, il sert de moyen d'interrogation et de vision. La mort de la sorcière libère l'apprenti.	Les fonctions dépendent de l'enchantement et de la personne enfermée. Ne pas en faire une réponse omnisciente et autonome à toute question. La libération par bris peut aussi libérer un danger.	Miroir enchanté pouvant emprisonner un être et servir de moyen de vision ou d'interrogation dans la magie des contes.
Livre magique des contes	Fairy_Tale_Book;Happily_Ever_After	S05E03	Livre original gardé avec les objets des contes, qui permet d'en mobiliser des personnages. Une copie ordinaire des Halliwell intervient aussi comme support de passage en combinaison avec la cape rouge et une magie appropriée.	Ne pas assimiler l'original magique à tout exemplaire imprimé des mêmes histoires. Les pouvoirs des personnages appelés ne sont pas ceux du papier seul. Distinguer appel et contrôle durable du personnage.	Livre magique lié aux personnages des contes et à leur manifestation. Il se distingue des copies ordinaires de ces histoires.
Pomme empoisonnée des contes	Poisoned_Apple	S05E03	Pomme d'apparence attirante qui place Paige dans un état évoquant la mort de Blanche-Neige après une bouchée. La guérison ordinaire tentée ne suffit pas ; la fin de l'enchantement de la sorcière la libère.	Ne pas annoncer le baiser comme seule solution : le récit emploie une autre résolution. Une résistance au soin essayé n'établit pas une impossibilité de tout soin magique. L'effet relève de cette pomme ensorcelée.	Pomme ensorcelée dont une bouchée peut plonger sa victime dans un état de mort apparente résistant aux soins essayés dans l'épisode.
Pantoufles de verre	Glass_Slippers	S05E03	Les pantoufles transforment Phoebe en figure de Cendrillon et entraînent ses pas vers le bal. La disparition de la dernière chaussure dépend de la résolution affective de son histoire avec Cole.	La contrainte sur les pas ne signifie pas une suppression de toute conscience. Ne pas imposer une relation amoureuse comme condition universelle de délivrance : le pardon et le contexte comptent.	Pantoufles enchantées qui transforment leur porteuse en Cendrillon et orientent ses pas selon la magie du conte.
Cape rouge des contes	Red_Cloak	S05E03	Cape liée au Petit Chaperon rouge. Elle peut servir avec le livre de contes à un passage vers l'espace magique de l'intrigue. Des cheveux associés au dispositif permettent aussi un leurre pour une recherche magique.	Les effets proviennent de la combinaison des éléments et de la magie employée ; la cape seule n'est pas un portail autonome établi. Un lien de localisation peut conduire vers un leurre.	Cape enchantée liée au Petit Chaperon rouge, utilisable avec le livre de contes dans une magie de passage.
Carrosse-citrouille	Phoebe_Halliwell/Magical_Transformations	S05E03	Phoebe est enfermée dans un carrosse qui redevient citrouille à minuit dans l'intrigue de Cendrillon.	Cette transformation programmée appartient au conte activé. Ne pas attribuer une téléportation ou un transport entre dimensions au véhicule sans scène supplémentaire. Il ne s'agit pas de n'importe quelle citrouille.	Carrosse enchanté du conte de Cendrillon, qui reprend sa forme de citrouille à minuit.
Bâton de leprechaun — shillelagh	Shillelagh	S05E17 S06E18 S08E20	Bâton employé par les leprechauns dans leur magie de chance et de déplacement par arc-en-ciel. Paige reçoit celui de Seamus ; ce lien permet d'appeler Riley. Les leprechauns peuvent reprendre les objets qu'ils ont confiés.	Le don, la révocation et les capacités du détenteur comptent. Ne pas transformer une influence sur la chance en certitude de résultat. Exclure les développements des comics liés à d'autres armes.	Bâton de leprechaun lié à la magie de chance et aux déplacements par arc-en-ciel ; un exemplaire confié peut aussi servir de lien d'appel.
Baguette de capture des phantasmes	Crimes_and_Witch-Demeanors	S06E19	Paige et Chris utilisent une baguette pour capturer un phantasme après son expulsion par une potion.	Séparer l'expulsion de l'être possédé et la capture de l'entité libérée. La baguette n'est pas démontrée comme exorcisme autonome ni comme prison de toute espèce d'esprit.	Baguette utilisée pour capturer un phantasme déjà expulsé de son hôte.
Poussière du marchand de sable	Dream_Dust	S05E14	Poudre employée auprès des dormeurs pour leur activité onirique. Un excès de poussière provoque la manifestation de figures issues des rêves dans Sand Francisco Dreamin'.	Ne pas assimiler production de rêves, endormissement et maîtrise de leur contenu. Le surdosage n'est pas une recette sûre de création d'un être choisi. Quantités exactes non établies.	Poussière liée aux rêves des dormeurs, dont un excès peut faire apparaître des figures oniriques.
Poussière de fée	Fairy;Cloaking	S03E03 S05E22 S05E23	La poussière de fée intervient dans l'accès à une perception enfantine, dans une combinaison destinée à renverser une pétrification et dans la dissimulation d'Êtres de lumière supérieurs lors de la menace des Titans.	Les usages reposent sur des contextes et parfois des ingrédients associés. Ne pas attribuer à la poudre seule toutes les propriétés de la formule contre la pétrification. Les quantités, la réserve et le renouvellement restent à définir selon la provenance.	Poussière féerique employée dans plusieurs magies de perception, de dissimulation ou de transformation, selon sa préparation et les éléments associés.
Fiole de capture d'âme	Coma_Induction_Potion	S06E01 S06E02	Une fiole retient l'âme de Darryl séparée de son corps pendant l'opération liée à Valhalla. La séparation dépend d'une potion et le corps reste vivant.	Distinguer induction de l'état, séparation de l'âme, conservation dans la fiole et réunification avec le corps. Une fiole vide ne provoque pas à elle seule une séparation d'âme. Aucun délai universel de conservation établi.	Fiole employée pour conserver une âme préalablement séparée d'un corps vivant.
Scarabées égyptiens de transfert	Egyptian_Scarabs	S05E10	Scarabées placés sur les corps dans le rite de Jeric destiné au transfert d'Isis. Les objets fonctionnent au sein d'une procédure de transfert, avec une formule.	Ne pas confondre conservation corporelle, momification et transfert d'identité. Les deux corps, l'identité transférée et le rite sont nécessaires à l'analyse ; les scarabées seuls ne confèrent pas l'immortalité.	Scarabées rituels utilisés par Jeric sur les corps impliqués dans un transfert d'identité.
Cercle de vérité du Tribunal	The_Circle_of_Truth	S06E19	Dispositif du Tribunal servant à projeter des souvenirs ou événements examinés durant le procès des sœurs.	Un dispositif judiciaire ancré dans son lieu n'est pas automatiquement une carte transportable. La restitution d'un souvenir ne prouve pas la connaissance de tout événement absent de celui-ci. Activation et personnes impliquées à conserver.	Dispositif du Tribunal permettant de présenter des souvenirs sous forme de projections lors d'un examen.
Liste de la Mort	Death%27s_List	S07E05	Liste des personnes que l'Ange de la Mort doit recueillir ; Piper y accède pendant son rôle temporaire. Son contenu et ses priorités évoluent avec la situation.	Ne pas inverser la causalité : écrire un nom ne constitue pas ici un pouvoir de tuer et l'effacer ne démontre pas une résurrection. Accès au document et fonction d'Ange de la Mort restent distincts.	Liste évolutive liée aux personnes que l'Ange de la Mort doit recueillir.
Balai enchanté de Phoebe	Broomstick	S03E04	Dans le contexte de 1670 et de Samhain, Phoebe enchante un balai et l'emploie notamment contre des protections ; l'épisode comporte aussi son usage comme moyen de vol.	Le support ordinaire devient magique par cette préparation. Ne pas déduire que tous les balais du manoir volent ou neutralisent toute barrière. Le contexte historique et rituel doit être documenté pour une réutilisation.	Balai enchanté pouvant servir de support de déplacement et d'action magique dans le contexte de Samhain.
Grimoire de Tuatha	Tuatha%27s_Grimoire	S02E06	Livre de magie de Tuatha contenant des formules, dont une action relative à la suppression des pouvoirs.	Le contenu consultable ne s'exécute pas automatiquement. Aucune défense autonome analogue au Grimoire de la Source n'est établie. Le devenir de l'exemplaire après l'épisode reste à préciser.	Grimoire de Tuatha contenant des formules magiques, notamment liées aux pouvoirs.
Grimoire des Phoenix	Phoenix_Grimoire	S06E10	Livre lié aux sorcières Phoenix, dissimulé puis appelé dans l'intrigue de Bianca et de sa mère. Une formule d'inhibition des pouvoirs intervient dans son contenu.	L'objet de tournage réutilisé depuis le grimoire de Tuatha ne prouve pas qu'il s'agit du même livre dans l'histoire. Possession du livre et aptitude à réaliser sa formule sont distinctes.	Grimoire des sorcières Phoenix, contenant notamment une formule liée à l'inhibition des pouvoirs.
Camion du marchand de glaces	We_All_Scream_for_Ice_Cream/Plot;We_All_Scream_for_Ice_Cream/Script	S03E10	Véhicule dont la mélodie attire les enfants démoniaques vers un espace intérieur où le Néant les poursuit. Prue et Phoebe y sont aussi entraînées. Leurs pouvoirs actifs ne fonctionnent pas, mais Phoebe a une prémonition. Victor peut ouvrir un accès qui résiste à Prue.	Le Néant ne distingue pas le Bien du Mal. Ne pas dire que tous les pouvoirs, y compris passifs, sont annulés. Le camion, son composant musical, son opérateur et l'espace intérieur sont distincts ; ce n'est pas un véhicule de téléportation libre.	Camion magique attirant des enfants démoniaques vers un espace de captivité dangereux, susceptible d'engloutir aussi d'autres personnes.
Sceptre de moralité de l'Ordre	Morality_Scepter	S06E12	L'Ordre emploie un sceptre pour faire basculer Wyatt vers le Mal ; plusieurs tentatives précèdent le résultat. Piper l'utilise ensuite pour rétablir son orientation bénéfique.	Ce changement ne prouve pas un contrôle détaillé de toutes les pensées ou de toutes les décisions. Le nombre de tentatives observé n'est pas un coût fixe applicable à toute cible. La résistance et les conditions d'usage contre d'autres êtres restent à établir.	Sceptre capable de modifier l'orientation morale d'un être vers le Bien ou le Mal, avec un effet réversible dans le cas montré.
