id	titre	typeCollectif	episodesReperes	canon	limitesEtIncertitudes	carteProposee	identifiantExistant	origineAjustements	sources
org-kurzon	Partisans de Kurzon	faction	S04E14	Kurzon, ancien rival de la Source, revient avec des partisans et cherche à profiter d’un changement de pouvoir. La Voyante exploite ses ambitions et l’oriente vers les sœurs. Sa faction dépend de sa prétention au commandement.	Effectif et organigramme ne sont pas documentés. Les manipulations de la Voyante ne constituent pas une alliance sincère et durable. La mort du chef ne renseigne pas à elle seule sur chaque partisan.	Partisans de Kurzon — Faction démoniaque réunie autour d’un prétendant au pouvoir, disponible pour des opérations liées à ses ambitions.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Kurzon [extrait_indexe_secondaire]
org-zankou	Faction de Zankou	faction	S07E10 ; S07E13 ; S07E22	Des démons libèrent Zankou face à la menace des Avatars malgré les réticences d’autres démons. Une coopération temporaire avec les Halliwell vise à annuler Utopia ; Zankou devient ensuite leur adversaire dans la lutte pour le Nexus.	La coalition contre les Avatars ne fait pas de Zankou un allié durable. Ses capacités d’absorption sont personnelles. Les effectifs et relais changent : ne pas additionner tous les démons de la saison dans une armée disponible.	Faction de Zankou — Coalition démoniaque réunie autour d’un chef puissant, capable d’alliances tactiques et de mobilisations pour la conquête du pouvoir.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Zankou [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Fight_for_the_Nexus [extrait_indexe_secondaire]
org-haas	Faction de Haas, Elkin et Black Heart	faction	S08E01 ; S08E02	Après la disparition apparente des Halliwell et la chute de Zankou, des démons cherchent à occuper le Manoir comme symbole de domination. Haas, Elkin et Black Heart participent à ces entreprises ; des pièges utilisent des innocents pour faire réagir les sorcières.	Ne pas confondre conquête symbolique du Manoir et possession effective du Nexus. Les aptitudes d’Elkin et de Black Heart ne sont pas celles de tous leurs associés. Dater les pertes et changements de commandement.	Faction de Haas — Groupe démoniaque cherchant à occuper une position de pouvoir après la disparition apparente des Halliwell.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Paul_Haas [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Black_Heart [extrait_indexe_secondaire]
org-imara	Cellule d’Imara	cellule	S07E19	Imara et ses serviteurs observent les sœurs avant une opération fondée sur un échange d’âmes avec Phoebe. La chef convoite son apparence et ses pouvoirs ; ses relations avec ses subordonnés sont coercitives.	L’échange d’âmes est attribué à Imara, pas à tous ses agents. L’observation préparatoire ne leur donne pas accès aux pensées ni à chaque secret. Le nom de cellule est proposé pour classer cet entourage restreint.	Cellule d’Imara — Petit groupe démoniaque pratiquant la surveillance et l’infiltration sous l’autorité d’Imara.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Imara [extrait_indexe_secondaire]
org-katya	Cellule de Katya	cellule	S07E18	Katya et ses agents cherchent à contrôler la boîte de Pandore en manipulant ou capturant ses gardiennes. La documentation rattache son passé aux Dark Lords ; l’opération montrée est conduite autour de ses propres intérêts.	Ne pas confondre ses anciens maîtres avec tous ses agents actuels. La possession de la boîte est une situation à établir, pas un équipement permanent de chaque membre. Organigramme des Dark Lords non documenté dans ce lot.	Cellule de Katya — Agents démoniaques spécialisés dans une opération visant les gardiennes de la boîte de Pandore et le contrôle de cet objet.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Katya [extrait_indexe_secondaire]
org-vampires	Clans de vampires et leurs reines	clan	S04E18 ; S07E22	La reine de saison 4 dirige un clan et cherche à rallier Paige. La mort de cette reine entraîne celle de ses vampires et interrompt la transformation encore inachevée de Paige. Une autre reine apparaît dans les négociations de Zankou en saison 7.	Deux reines à des périodes différentes ne constituent pas une même personne ni la preuve d’une administration mondiale. Le lien vital constaté dans le premier clan doit rester rattaché à ce cas. Exclure Lorna et les intrigues de Neena des comics.	Clan de vampires — Communauté placée sous l’autorité d’une reine, avec des liens de dépendance et des pratiques de transformation propres au clan concerné.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Vampire_Queen [extrait_indexe_secondaire]
org-gideon	Intermédiaires et exécutants de Gideon	réseau clandestin	S06E16 ; S06E23	Gideon emploie des intermédiaires, dont des Êtres des ténèbres, dans son projet caché contre Wyatt. Une opération contre Leo sert à l’écarter. Ce réseau clandestin est distinct de l’autorité publique que Gideon détient comme Fondateur.	Gideon n’est pas membre de l’espèce des Êtres des ténèbres. Un contrat ponctuel ne prouve pas que toute cette espèce lui obéit. Les membres du Conseil et les personnels de l’école ne connaissent pas automatiquement son projet.	Réseau de Gideon — Intermédiaires et exécutants liés à des missions clandestines commanditées par Gideon, avec des degrés variables d’information.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Gideon [extrait_indexe_secondaire]
org-marche	Réseau du marché démoniaque	réseau économique	S05E16 ; S05E20	Le marché réunit vendeurs, acheteurs et intermédiaires autour de pouvoirs, objets et êtres captifs. La Crone y représente ou conseille des intérêts puissants et tente d’utiliser la question de Wyatt dans ses négociations. Il s’agit d’un réseau économique autant que d’un lieu.	Ne pas assimiler tous les commerçants à une seule faction ni un décret de la Crone à une obéissance universelle. Vente proposée, possession et authenticité d’une marchandise restent distinctes. Le lieu devrait être relié à une fiche de lieu séparée.	Marché démoniaque — Réseau d’échanges et d’intermédiaires proposant pouvoirs, objets et autres ressources magiques, soumis à des intérêts concurrents.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Demonic_Market [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/The_Crone [extrait_indexe_secondaire]
org-police	Police de San Francisco — dans la série	institution humaine	S01E22 ; S06E19 ; S07E22	Institution d’enquête à laquelle appartiennent Andy, Darryl et Sheridan selon la période. Certains agents connaissent le secret des sœurs, d’autres enquêtent sur leurs anomalies. Le procès surnaturel de Darryl montre qu’une procédure peut reposer sur des événements magiquement falsifiés.	Ce sont les faits de la fiction, pas une description juridique du service réel. La confiance de Darryl ne donne pas accès à tout le service. Les dossiers et connaissances détenus par chaque agent doivent être distingués.	Police de San Francisco — Institution d’enquête disposant d’agents, de dossiers et de moyens ordinaires d’investigation ; la connaissance de la magie varie selon les personnes.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/San_Francisco_Police_Department [extrait_indexe_secondaire]
org-securite	Homeland Security — dans la série	institution humaine	S07E22 ; S08E05 ; S08E09	Des agents fédéraux enquêtent sur les Halliwell et négocient avec elles. Murphy participe à leur retour public en saison 8. Hulkus Pocus révèle un programme impliquant du sang démoniaque dont les conséquences compromettent la coopération.	La connaissance de certains agents ne signifie pas que tout le gouvernement connaît la magie. Exclure les Magic Squads des comics. Ne pas inventer un organigramme réel ni confondre automatiquement cette agence avec le FBI.	Homeland Security — Service fédéral de la série disposant d’enquêteurs et d’informations sensibles ; certains agents entretiennent des contacts avec les Halliwell.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Homeland_Security [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/Russ_Murphy [extrait_indexe_secondaire]
org-baymirror	The Bay Mirror	institution humaine	S04E16 ; S05E16	Journal où Phoebe tient une chronique de conseils. Elise assure une fonction éditoriale et Jason intervient comme propriétaire à une période ultérieure. Le journal fournit un cadre professionnel, des lecteurs et des circuits d’information.	Journal ordinaire, pas organisation magique. L’emploi de Phoebe ne confère pas à toute la rédaction ses dons ou sa connaissance du surnaturel. Accès aux archives et publication dépendent des rôles et circonstances.	The Bay Mirror — Journal doté d’une rédaction, de chroniques et de réseaux d’information ; cadre professionnel de Phoebe.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/The_Bay_Mirror [extrait_indexe_secondaire]
org-buckland	Buckland Auction House	institution humaine	S01E01 ; S01E10	Maison de ventes où travaille Prue. Deux warlocks tuent Rex Buckland et Hannah Webster et usurpent leur identité afin de s’approcher des sœurs. L’infiltration exploite une institution humaine existante.	La société n’est pas intrinsèquement démoniaque parce que des dirigeants ont été remplacés. Distinguer victimes humaines et usurpateurs homonymes. Expertise d’objets anciens et certification de propriétés magiques ne sont pas équivalentes.	Buckland — Maison de ventes aux enchères disposant d’expertise et de circuits d’échange d’objets anciens et de collection.		Nouvelle fiche collective proposée dans ce dossier. Des membres ou événements peuvent déjà figurer dans les profils individuels ; aucune absence générale du projet n’est affirmée.	https://charmed.fandom.com/wiki/Buckland_Auction_House [extrait_indexe_secondaire] ; https://charmed.fandom.com/wiki/%22Rex_Buckland%22 [extrait_indexe_secondaire]
